sentence_id,words,labels,pos_tag
0,We,O,PRP
0,investigate,O,VBP
0,a,O,DT
0,largely,O,RB
0,unsupervised,O,JJ
0,approach,O,NN
0,to,O,TO
0,learning,O,VBG
0,interpretable,O,JJ
0,",",O,","
0,domain,O,VB
0,-,O,:
0,specific,O,JJ
0,entity,O,NN
0,types,O,NNS
0,from,O,IN
0,unlabeled,O,JJ
0,text,O,NN
0,.,O,.
1,We,O,PRP
1,evaluate,O,VBP
1,the,O,DT
1,learned,O,JJ
1,types,O,NNS
1,by,O,IN
1,measuring,O,VBG
1,their,O,PRP$
1,prediction,B,NN
1,accuracy,B,NN
1,for,O,IN
1,verb,O,NN
1,arguments,O,NNS
1,in,O,IN
1,several,O,JJ
1,domains,O,NNS
1,.,O,.
2,We,O,PRP
2,measure,O,VBP
2,prediction,B,JJ
2,accuracy,B,NN
2,when,O,WRB
2,using,O,VBG
2,the,O,DT
2,learned,O,JJ
2,types,O,NNS
2,in,O,IN
2,a,O,DT
2,selectional,O,JJ
2,restriction,O,NN
2,task,O,NN
2,for,O,IN
2,frequent,O,JJ
2,verbs,O,NN
2,.,O,.
3,We,O,PRP
3,then,O,RB
3,compare,O,VB
3,these,O,DT
3,predictions,O,NNS
3,to,O,TO
3,the,O,DT
3,type,O,NN
3,in,O,IN
3,the,O,DT
3,respective,O,JJ
3,gold,O,NN
3,data,O,NNS
3,and,O,CC
3,compute,O,VB
3,the,O,DT
3,accuracy,B,NN
3,for,O,IN
3,each,O,DT
3,argument,O,NN
3,position,O,NN
3,.,O,.
4,shows,O,VBZ
4,the,O,DT
4,accuracy,B,NN
4,of,O,IN
4,the,O,DT
4,different,O,JJ
4,models,O,NNS
4,in,O,IN
4,the,O,DT
4,prediction,O,NN
4,task,O,NN
4,for,O,IN
4,the,O,DT
4,three,O,CD
4,different,O,JJ
4,domains,O,NNS
4,.,O,.
5,Experimental,O,JJ
5,results,O,NNS
5,show,O,VBP
5,that,O,IN
5,our,O,PRP$
5,method,O,NN
5,significantly,O,RB
5,improves,O,VBZ
5,translation,B,NN
5,accuracy,B,NN
5,in,O,IN
5,the,O,DT
5,NIST,B,NNP
5,Chinese,I,NNP
5,-,I,:
5,to,I,TO
