sentence_id,words,labels,pos_tag
0,Motivated,O,VBN
0,by,O,IN
0,the,O,DT
0,success,O,NN
0,of,O,IN
0,ensemble,O,JJ
0,methods,B,NNS
0,in,I,IN
0,machine,O,NN
0,learning,B,NN
0,and,I,CC
0,other,O,JJ
0,areas,O,NNS
0,of,O,IN
0,natural,O,JJ
0,language,B,NN
0,processing,I,NN
0,",",I,","
0,we,I,PRP
0,developed,I,VBD
0,a,O,DT
0,multi-strategy,O,JJ
0,and,B,CC
0,multi-source,I,JJ
0,approach,I,NN
0,to,I,TO
0,question,I,NN
0,answering,I,VBG
0,which,I,WDT
0,is,I,VBZ
0,based,O,VBN
0,on,O,IN
0,combining,O,VBG
0,the,O,DT
0,results,O,NNS
0,from,O,IN
0,different,O,JJ
0,answering,O,VBG
0,agents,B,NNS
0,searching,I,VBG
0,for,O,IN
0,answers,O,NNS
0,in,O,IN
0,multiple,O,JJ
0,corpora,O,NN
0,.,O,.
0,The,O,DT
0,answering,O,VBG
0,agents,O,NNS
0,adopt,B,VB
0,fundamentally,I,RB
0,different,O,JJ
0,"strategies,",O,NN
0,one,O,CD
0,utilizing,O,VBG
0,primarily,B,RB
0,knowledge-based,I,VBN
0,mechanisms,O,NNS
0,and,B,CC
0,the,I,DT
0,other,I,JJ
0,adopting,I,VBG
0,statistical,O,JJ
0,techniques,O,NNS
0,.,B,.
0,We,I,PRP
0,present,I,JJ
0,our,I,PRP$
0,multi-level,I,JJ
0,answer,O,NN
0,resolution,O,NN
0,algorithm,B,NN
0,that,I,WDT
0,combines,I,VBZ
0,results,I,NNS
0,from,O,IN
0,the,O,DT
0,answering,O,VBG
0,agents,O,NNS
0,at,O,IN
0,the,O,DT
0,"question,",B,NN
0,"passage,",I,NN
0,and/or,O,NN
0,answer,B,NN
0,levels,I,NNS
0,.,I,.
0,Experiments,I,NNS
0,evaluating,I,VBG
0,the,I,DT
0,effectiveness,O,NN
0,of,O,IN
0,our,O,PRP$
0,answer,O,NN
0,resolution,O,NN
0,algorithm,O,VBZ
0,show,B,VBP
0,a,I,DT
0,35.0%,I,CD
0,relative,I,JJ
0,improvement,I,NN
0,over,O,IN
0,our,O,PRP$
0,baseline,O,NN
0,system,O,NN
0,in,O,IN
0,the,O,DT
0,number,O,NN
0,of,B,IN
0,questions,I,NNS
0,correctly,I,RB
0,answered,O,VBN
0,",",O,","
0,and,O,CC
0,a,O,DT
0,32.8%,O,CD
0,improvement,O,NN
0,according,O,VBG
0,to,O,TO
0,the,O,DT
0,average,O,JJ
0,precision,O,NN
0,metric,O,JJ
0,.,O,.
1,We,O,PRP
1,investigated,O,VBD
1,whether,O,IN
1,automatic,B,JJ
1,phonetic,I,JJ
1,transcriptions,I,NNS
1,(APTs),I,VBP
1,can,O,MD
1,replace,O,VB
1,manually,B,RB
1,verified,I,VBN
1,phonetic,I,JJ
1,transcriptions,I,NNS
1,(MPTs),O,VBP
1,in,O,IN
1,a,O,DT
1,large,O,JJ
1,corpus-based,O,JJ
1,study,O,NN
1,on,O,IN
1,pronunciation,B,NN
1,variation.,I,NN
1,To,O,TO
1,this,O,DT
1,"end,",O,NN
1,we,O,PRP
1,compared,O,VBN
1,the,O,DT
1,performance,O,NN
1,of,O,IN
1,both,O,DT
1,transcription,O,NN
1,types,O,NNS
1,in,O,IN
1,a,O,DT
1,classification,B,NN
1,experiment,O,NN
1,aimed,O,VBN
1,at,O,IN
1,establishing,O,VBG
1,the,O,DT
1,direct,O,JJ
1,influence,O,NN
1,of,O,IN
1,a,O,DT
1,particular,O,JJ
1,situational,O,JJ
1,setting,O,NN
1,on,O,IN
1,pronunciation,B,NN
1,variation.,I,NN
1,We,O,PRP
1,trained,O,VBD
1,classifiers,B,NNS
1,on,O,IN
1,the,O,DT
1,speech,B,NN
1,processes,I,VBZ
1,extracted,O,VBN
1,from,O,IN
1,the,O,DT
1,alignments,B,NNS
1,of,O,IN
1,an,O,DT
1,APT,B,NNP
1,and,O,CC
1,an,O,DT
1,MPT,B,NNP
1,with,O,IN
1,a,O,DT
1,canonical,B,JJ
1,transcription.,I,NN
1,We,O,PRP
1,tested,O,VBD
1,whether,O,IN
1,the,O,DT
1,classifiers,B,NNS
1,were,O,VBD
1,equally,O,RB
1,good,O,JJ
1,at,O,IN
1,verifying,O,VBG
1,whether,O,IN
1,unknown,B,JJ
1,transcriptions,I,NNS
1,represent,O,VBP
1,read,B,JJ
1,speech,I,NN
1,or,O,CC
1,telephone,B,NN
1,"dialogues,",I,NN
1,and,O,CC
1,whether,O,IN
1,the,O,DT
1,same,O,JJ
1,speech,B,NN
1,processes,I,NNS
1,were,O,VBD
1,identified,O,VBN
1,to,O,TO
1,distinguish,O,VB
1,between,O,IN
1,transcriptions,O,NNS
1,of,O,IN
1,the,O,DT
1,two,O,CD
1,situational,O,JJ
1,settings.,O,NNS
1,Our,O,PRP$
1,results,O,NNS
1,not,O,RB
1,only,O,RB
1,show,O,VB
1,that,O,IN
1,similar,O,JJ
1,distinguishing,O,VBG
1,speech,O,NN
1,processes,O,NNS
1,were,O,VBD
1,identified;,O,JJ
1,our,O,PRP$
1,APT-based,B,JJ
1,classifier,I,NN
1,yielded,O,VBN
1,better,O,RBR
1,classification,B,NN
1,accuracy,I,NN
1,than,O,IN
1,the,O,DT
1,MPT-based,B,JJ
1,classifier,I,NN
1,whilst,O,NN
1,using,O,VBG
1,fewer,O,JJR
1,classification,B,NN
