sentence_id,words,labels,pos_tag
0,Motivated,O,VBN
0,by,O,IN
0,the,O,DT
0,success,O,NN
0,of,O,IN
0,ensemble,O,JJ
0,methods,B,NNS
0,in,I,IN
0,machine,O,NN
0,learning,B,NN
0,and,I,CC
0,other,O,JJ
0,areas,O,NNS
0,of,O,IN
0,natural,O,JJ
0,language,B,NN
0,processing,I,NN
0,",",I,","
0,we,I,PRP
0,developed,I,VBD
0,a,O,DT
0,multi-strategy,O,JJ
0,and,B,CC
0,multi-source,I,JJ
0,approach,I,NN
0,to,I,TO
0,question,I,NN
0,answering,I,VBG
0,which,I,WDT
0,is,I,VBZ
0,based,O,VBN
0,on,O,IN
0,combining,O,VBG
0,the,O,DT
0,results,O,NNS
0,from,O,IN
0,different,O,JJ
0,answering,O,VBG
0,agents,B,NNS
0,searching,I,VBG
0,for,O,IN
0,answers,O,NNS
0,in,O,IN
0,multiple,O,JJ
0,corpora,O,NN
0,.,O,.
1,The,O,DT
1,answering,O,VBG
1,agents,O,NNS
1,adopt,B,VB
1,fundamentally,I,RB
1,different,O,JJ
1,"strategies,",O,NN
1,one,O,CD
1,utilizing,O,VBG
1,primarily,B,RB
1,knowledge-based,I,VBN
1,mechanisms,O,NNS
1,and,B,CC
1,the,I,DT
1,other,I,JJ
1,adopting,I,VBG
1,statistical,O,JJ
1,techniques,O,NNS
1,.,B,.
2,We,I,PRP
2,present,I,JJ
2,our,I,PRP$
2,multi-level,I,JJ
2,answer,O,NN
2,resolution,O,NN
2,algorithm,B,NN
2,that,I,WDT
2,combines,I,VBZ
2,results,I,NNS
2,from,O,IN
2,the,O,DT
2,answering,O,VBG
2,agents,O,NNS
2,at,O,IN
2,the,O,DT
2,"question,",B,NN
2,"passage,",I,NN
2,and/or,O,NN
2,answer,B,NN
2,levels,I,NNS
2,.,I,.
3,Experiments,I,NNS
3,evaluating,I,VBG
3,the,I,DT
3,effectiveness,O,NN
3,of,O,IN
3,our,O,PRP$
3,answer,O,NN
3,resolution,O,NN
3,algorithm,O,VBZ
3,show,B,VBP
3,a,I,DT
3,35.0%,I,CD
3,relative,I,JJ
3,improvement,I,NN
3,over,O,IN
3,our,O,PRP$
3,baseline,O,NN
3,system,O,NN
3,in,O,IN
3,the,O,DT
3,number,O,NN
3,of,B,IN
3,questions,I,NNS
3,correctly,I,RB
3,answered,O,VBN
3,",",O,","
3,and,O,CC
3,a,O,DT
3,32.8%,O,CD
3,improvement,O,NN
3,according,O,VBG
3,to,O,TO
3,the,O,DT
3,average,O,JJ
3,precision,O,NN
3,metric,O,JJ
3,.,O,.
4,We,O,PRP
4,investigated,O,VBD
4,whether,O,IN
4,automatic,B,JJ
4,phonetic,I,JJ
4,transcriptions,I,NNS
4,(APTs),I,VBP
4,can,O,MD
4,replace,O,VB
4,manually,B,RB
4,verified,I,VBN
4,phonetic,I,JJ
4,transcriptions,I,NNS
4,(MPTs),O,VBP
4,in,O,IN
4,a,O,DT
4,large,O,JJ
4,corpus-based,O,JJ
4,study,O,NN
4,on,O,IN
4,pronunciation,B,NN
4,variation.,I,NN
5,To,O,TO
5,this,O,DT
5,"end,",O,NN
5,we,O,PRP
5,compared,O,VBN
5,the,O,DT
5,performance,O,NN
5,of,O,IN
5,both,O,DT
5,transcription,O,NN
5,types,O,NNS
5,in,O,IN
5,a,O,DT
5,classification,B,NN
5,experiment,O,NN
5,aimed,O,VBN
5,at,O,IN
5,establishing,O,VBG
5,the,O,DT
5,direct,O,JJ
5,influence,O,NN
5,of,O,IN
5,a,O,DT
5,particular,O,JJ
5,situational,O,JJ
5,setting,O,NN
5,on,O,IN
5,pronunciation,B,NN
5,variation.,I,NN
6,We,O,PRP
6,trained,O,VBD
6,classifiers,B,NNS
6,on,O,IN
6,the,O,DT
6,speech,B,NN
6,processes,I,VBZ
6,extracted,O,VBN
6,from,O,IN
6,the,O,DT
6,alignments,B,NNS
6,of,O,IN
6,an,O,DT
6,APT,B,NNP
6,and,O,CC
6,an,O,DT
6,MPT,B,NNP
6,with,O,IN
6,a,O,DT
6,canonical,B,JJ
6,transcription.,I,NN
7,We,O,PRP
7,tested,O,VBD
7,whether,O,IN
7,the,O,DT
7,classifiers,B,NNS
7,were,O,VBD
7,equally,O,RB
7,good,O,JJ
7,at,O,IN
7,verifying,O,VBG
7,whether,O,IN
7,unknown,B,JJ
7,transcriptions,I,NNS
7,represent,O,VBP
7,read,B,JJ
7,speech,I,NN
7,or,O,CC
7,telephone,B,NN
7,"dialogues,",I,NN
7,and,O,CC
7,whether,O,IN
7,the,O,DT
7,same,O,JJ
7,speech,B,NN
7,processes,I,NNS
7,were,O,VBD
7,identified,O,VBN
7,to,O,TO
7,distinguish,O,VB
7,between,O,IN
7,transcriptions,O,NNS
7,of,O,IN
7,the,O,DT
7,two,O,CD
7,situational,O,JJ
7,settings.,O,NNS
8,Our,O,PRP$
8,results,O,NNS
8,not,O,RB
8,only,O,RB
8,show,O,VB
8,that,O,IN
8,similar,O,JJ
8,distinguishing,O,VBG
8,speech,O,NN
8,processes,O,NNS
8,were,O,VBD
8,identified;,O,JJ
8,our,O,PRP$
8,APT-based,B,JJ
8,classifier,I,NN
8,yielded,O,VBN
8,better,O,RBR
8,classification,B,NN
8,accuracy,I,NN
8,than,O,IN
8,the,O,DT
8,MPT-based,B,JJ
8,classifier,I,NN
8,whilst,O,NN
8,using,O,VBG
8,fewer,O,JJR
8,classification,B,NN
