sentence_id,words,labelp,labeln,pos_tag
0,Multimodal,O,O,NNP
0,Differential,O,O,NNP
0,Network,O,O,NNP
0,for,O,O,IN
0,Visual,O,B,NNP
0,Question,O,I,NNP
0,Generation,O,I,NNP
1,Generating,O,B,VBG
1,natural,O,I,JJ
1,questions,O,I,NNS
1,from,O,I,IN
1,an,O,I,DT
1,image,O,I,NN
1,is,O,O,VBZ
1,a,O,O,DT
1,semantic,O,O,JJ
1,task,O,O,NN
1,that,O,O,WDT
1,requires,O,O,VBZ
1,using,O,O,VBG
1,visual,O,O,JJ
1,and,O,O,CC
1,language,O,O,NN
1,modality,O,O,NN
1,to,O,O,TO
1,learn,O,O,VB
1,multimodal,O,O,JJ
1,representations,O,O,NNS
1,.,O,O,.
2,Here,O,O,RB
2,the,O,O,DT
2,au-thors,O,O,NNS
2,have,O,O,VBP
2,proposed,O,O,VBN
2,the,O,O,DT
2,challenging,O,O,VBG
2,task,O,O,NN
2,of,O,O,IN
2,generating,O,B,VBG
2,natural,O,I,JJ
2,questions,O,I,NNS
2,for,O,I,IN
2,an,O,I,DT
2,image,O,I,NN
2,.,O,O,.
3,To,O,O,TO
3,solve,O,O,VB
3,this,O,O,DT
3,problem,O,O,NN
3,",",O,O,","
3,we,O,O,PRP
3,use,B,O,VBP
3,the,O,O,DT
3,context,O,B,NN
3,obtained,O,O,VBN
3,by,B,O,IN
3,considering,I,O,VBG
3,exemplars,O,B,NNS
3,",",O,O,","
3,specifically,O,O,RB
3,we,O,O,PRP
3,use,O,O,VBP
3,the,O,O,DT
3,difference,O,B,NN
3,between,B,O,IN
3,relevant,O,B,JJ
3,and,O,I,CC
3,irrelevant,O,I,JJ
3,exemplars,O,I,NNS
3,.,O,O,.
4,We,O,O,PRP
4,consider,B,O,VBP
4,different,O,B,JJ
4,contexts,O,I,NN
4,in,B,O,IN
4,the,I,O,DT
4,form,I,O,NN
4,of,I,O,IN
4,Location,O,B,NNP
4,",",O,I,","
4,Caption,O,I,NNP
4,",",O,I,","
4,and,O,I,CC
4,Part,O,I,NNP
4,of,O,I,IN
4,Speech,O,I,NNP
4,tags,O,I,NNS
4,.,O,O,.
5,Our,O,O,PRP$
5,method,O,O,NN
5,implicitly,O,O,RB
5,uses,B,O,VBZ
5,a,O,O,DT
5,differential,O,B,JJ
5,context,O,I,NN
5,obtained,B,O,VBN
5,through,I,O,IN
5,supporting,O,B,VBG
5,and,O,I,CC
5,contrasting,O,I,VBG
5,exemplars,O,I,NNS
5,to,B,O,TO
5,obtain,I,O,VB
5,a,O,O,DT
5,differentiable,O,B,JJ
5,embedding,O,I,NN
5,.,O,O,.
6,This,O,O,DT
6,embedding,O,O,NN
6,is,O,O,VBZ
6,used,B,O,VBN
6,by,I,O,IN
6,a,O,O,DT
6,question,O,B,NN
6,decoder,O,I,NN
6,to,B,O,TO
6,decode,I,O,VB
6,the,O,O,DT
6,appropriate,O,B,JJ
6,question,O,I,NN
6,.,O,O,.
7,To,O,O,TO
7,summarize,O,O,VB
7,",",O,O,","
7,we,O,O,PRP
7,propose,B,O,VBP
7,a,O,O,DT
7,multimodal,O,B,JJ
7,differential,O,I,NN
7,network,O,I,NN
7,to,B,O,TO
7,solve,I,O,VB
7,the,O,O,DT
7,task,O,B,NN
7,of,B,O,IN
7,visual,O,B,JJ
7,question,O,I,NN
7,generation,O,I,NN
7,.,O,O,.
8,Neural,O,B,JJ
8,Question,O,I,NNP
8,Generation,O,I,NNP
8,from,O,I,IN
8,Text,O,I,NNP
8,:,O,O,:
8,A,O,O,DT
8,Preliminary,O,O,NNP
8,Study,O,O,NN
9,Automatic,O,B,JJ
9,question,O,I,NN
9,generation,O,I,NN
9,aims,O,O,VBZ
9,to,O,O,TO
9,generate,O,O,VB
9,questions,O,O,NNS
9,from,O,O,IN
9,a,O,O,DT
9,text,O,O,NN
9,passage,O,O,NN
9,where,O,O,WRB
9,the,O,O,DT
9,generated,O,O,JJ
9,questions,O,O,NNS
9,can,O,O,MD
9,be,O,O,VB
9,answered,O,O,VBN
9,by,O,O,IN
9,certain,O,O,JJ
9,sub-,O,O,JJ
9,spans,O,O,NNS
9,of,O,O,IN
9,the,O,O,DT
9,given,O,O,VBN
9,passage,O,O,NN
9,.,O,O,.
10,Automatic,O,B,JJ
10,question,O,I,NN
10,generation,O,I,NN
10,from,O,I,IN
10,natural,O,I,JJ
10,language,O,I,NN
10,text,O,I,NN
10,aims,O,O,VBZ
10,to,O,O,TO
10,generate,O,O,VB
10,questions,O,O,NNS
10,taking,O,O,VBG
10,text,O,O,NN
10,as,O,O,IN
10,input,O,O,NN
10,",",O,O,","
10,which,O,O,WDT
10,has,O,O,VBZ
10,the,O,O,DT
10,potential,O,O,JJ
10,value,O,O,NN
10,of,O,O,IN
10,education,O,O,NN
10,purpose,O,O,NN
10,),O,O,)
10,.,O,O,.
11,As,O,O,IN
11,the,O,O,DT
11,reverse,O,O,NN
11,task,O,O,NN
11,of,O,O,IN
11,question,O,O,NN
11,answering,O,O,NN
11,",",O,O,","
11,question,O,B,NN
11,generation,O,I,NN
11,also,O,O,RB
11,has,O,O,VBZ
11,the,O,O,DT
11,potential,O,O,NN
11,for,O,O,IN
11,providing,O,O,VBG
11,a,O,O,DT
11,large,O,O,JJ
11,scale,O,O,NN
11,corpus,O,O,NN
11,of,O,O,IN
11,question,O,O,NN
11,-,O,O,:
11,answer,O,O,NN
11,pairs,O,O,NNS
11,.,O,O,.
12,In,O,O,IN
12,this,O,O,DT
12,work,O,O,NN
12,we,O,O,PRP
12,conduct,O,O,VBP
12,a,O,O,DT
12,preliminary,O,O,JJ
12,study,O,O,NN
12,on,O,O,IN
12,question,O,O,NN
12,generation,O,O,NN
12,from,O,O,IN
